"금연구역명","금연구역범위상세","시도명","시군구명","금연구역구분","금연구역지정근거명","금연구역면적","위반과태료","위반신고전화번호","소재지도로명주소","소재지지번주소","관리기관명","위도","경도","데이터기준일자","제공기관코드","작업일시"
"문래중학교","학교 출입문으로부터 직선거리 50m이내","서울특별시","영등포구","학교 절대정화구역 전체                                                                                        ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 선유서로13길 6","서울특별시 영등포구 문래동6가 44번지","서울특별시 영등포구청","37.5204182911","126.8841403786","2020-09-21","","2021-10-17 11:36:46.0"
"당산중학교","학교 출입문으로부터 직선거리 50m이내","서울특별시","영등포구","학교 절대정화구역 전체                                                                                        ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 버드나루로 160","서울특별시 영등포구 당산동 121번지","서울특별시 영등포구청","37.5320330761","126.9076140329","2020-09-21","","2021-10-17 11:36:46.0"
"당산서중학교","학교 출입문으로부터 직선거리 50m이내","서울특별시","영등포구","학교 절대정화구역 전체                                                                                        ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 당산로41길 12","서울특별시 영등포구 당산동5가 5번지","서울특별시 영등포구청","37.5324839425","126.8988250959","2020-09-21","","2021-10-17 11:36:46.0"
"여의도중학교","학교 출입문으로부터 직선거리 50m이내","서울특별시","영등포구","학교 절대정화구역 전체                                                                                        ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 국제금융로7길 46","서울특별시 영등포구 여의도동 40-1번지","서울특별시 영등포구청","37.52398102","126.935754","2020-09-21","","2021-10-17 11:36:46.0"
"윤중중학교","학교 출입문으로부터 직선거리 50m이내","서울특별시","영등포구","학교 절대정화구역 전체                                                                                        ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 여의동로3길 3","서울특별시 영등포구 여의도동 38-2번지","서울특별시 영등포구청","37.5189929","126.9241231557","2020-09-21","","2021-10-17 11:36:46.0"
"영원중학교","학교 출입문으로부터 직선거리 50m이내","서울특별시","영등포구","학교 절대정화구역 전체                                                                                        ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 영등포로62길 31","서울특별시 영등포구 영등포동 576-6번지","서울특별시 영등포구청","37.5149741902","126.9136468648","2020-09-21","","2021-10-17 11:36:46.0"
"서울신영초등학교","학교 출입문으로부터 직선거리 50m이내","서울특별시","영등포구","학교 절대정화구역 전체                                                                                        ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 도신로4길 32","서울특별시 영등포구 대림동 781번지","서울특별시 영등포구청","37.5010060169","126.8960948170","2020-09-21","","2021-10-17 11:36:46.0"
"도신초등학교","학교 출입문으로부터 직선거리 50m이내","서울특별시","영등포구","학교 절대정화구역 전체                                                                                        ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 도림로53길 32-9","서울특별시 영등포구 대림동 741-3번지","서울특별시 영등포구청","37.4992678949","126.9007140623","2020-09-21","","2021-10-17 11:36:46.0"
"영림초등학교","학교 출입문으로부터 직선거리 50m이내","서울특별시","영등포구","학교 절대정화구역 전체                                                                                        ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 시흥대로173길 14","서울특별시 영등포구 대림동 993-16번지","서울특별시 영등포구청","37.48734538","126.9025161302","2020-09-21","","2021-10-17 11:36:46.0"
"삼환어린이집","건물경계선으로부터 10m이내 보차도","서울특별시","영등포구","유치원 및 어린이집 전체                                                                                       ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 영중로 145 삼환아파트 104동 101호","서울특별시 영등포구 영등포동8가 76-1번지 삼환아파트 104동 101호","서울특별시 영등포구청","37.52965842","126.9054524","2020-09-21","","2021-10-17 11:36:46.0"
"버스정류소 19-751(마을)","버스승차대 좌우끝(또는 버스표지판)으로 부터 반경 10미터이내 보도","서울특별시","영등포구","건영아파트                                                                                               ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 도림로 313","서울특별시 영등포구 신길동 364번지 건영아파트","서울특별시 영등포구청","37.50546837","126.9014963","2020-09-21","","2021-10-17 11:36:46.0"
"버스정류소 19-750(마을)","버스승차대 좌우끝(또는 버스표지판)으로 부터 반경 10미터이내 보도","서울특별시","영등포구","현대홈타운아파트                                                                                            ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 문래로 79-8","서울특별시 영등포구 문래동3가 82-7번지","서울특별시 영등포구청","37.5200009116","126.8910158","2020-09-21","","2021-10-17 11:36:46.0"
"버스정류소 19-748(마을)","버스승차대 좌우끝(또는 버스표지판)으로 부터 반경 10미터이내 보도","서울특별시","영등포구","도림교회                                                                                                ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 도영로 40","서울특별시 영등포구 도림동 186-27번지","서울특별시 영등포구청","37.50923647","126.8975279","2020-09-21","","2021-10-17 11:36:46.0"
"버스정류소 19-746(마을)","버스승차대 좌우끝(또는 버스표지판)으로 부터 반경 10미터이내 보도","서울특별시","영등포구","문래역.남부교육청                                                                                           ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 문래로 110 맞은편","서울특별시 영등포구 문래동3가 73번지 맞은편","서울특별시 영등포구청","37.51885103","126.8941145","2020-09-21","","2021-10-17 11:36:46.0"
"버스정류소 19-745(마을)","버스승차대 좌우끝(또는 버스표지판)으로 부터 반경 10미터이내 보도","서울특별시","영등포구","도림동주민센터                                                                                             ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 도신로15길 40","서울특별시 영등포구 도림동 226-1번지","서울특별시 영등포구청","37.5086080352","126.8965733","2020-09-21","","2021-10-17 11:36:46.0"
"버스정류소 19-742(마을)","버스승차대 좌우끝(또는 버스표지판)으로 부터 반경 10미터이내 보도","서울특별시","영등포구","크라운사거리                                                                                              ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 도신로 115","서울특별시 영등포구 도림동 138-42번지","서울특별시 영등포구청","37.5083165454","126.9045822","2020-09-21","","2021-10-17 11:36:46.0"
"버스정류소 19-741(마을)","버스승차대 좌우끝(또는 버스표지판)으로 부터 반경 10미터이내 보도","서울특별시","영등포구","금호아파트                                                                                               ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 문래로 137","서울특별시 영등포구 문래동3가 97번지 문래동금호어울림아파트","서울특별시 영등포구청","37.5189839129","126.8981391653","2020-09-21","","2021-10-17 11:36:46.0"
"버스정류소 19-740(마을)","버스승차대 좌우끝(또는 버스표지판)으로 부터 반경 10미터이내 보도","서울특별시","영등포구","놀이터                                                                                                 ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 여의대방로49길 15","서울특별시 영등포구 신길동 1221번지","서울특별시 영등포구청","37.5099505","126.9224136879","2020-09-21","","2021-10-17 11:36:46.0"
"버스정류소 19-739(마을)","버스승차대 좌우끝(또는 버스표지판)으로 부터 반경 10미터이내 보도","서울특별시","영등포구","코오롱아파트                                                                                              ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 도영로 2-5","서울특별시 영등포구 대림동 607-1번지 대림동코오롱아파트","서울특별시 영등포구청","37.5071427244","126.8943250003","2020-09-21","","2021-10-17 11:36:46.0"
"버스정류소 19-735(마을)","버스승차대 좌우끝(또는 버스표지판)으로 부터 반경 10미터이내 보도","서울특별시","영등포구","삼성아파트                                                                                               ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 당산로 160","서울특별시 영등포구 당산동4가 32-111번지","서울특별시 영등포구청","37.52866923","126.8981292","2020-09-21","","2021-10-17 11:36:46.0"
"버스정류소 19-734(마을)","버스승차대 좌우끝(또는 버스표지판)으로 부터 반경 10미터이내 보도","서울특별시","영등포구","도림동자치회관                                                                                             ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 도신로 143","서울특별시 영등포구 도림동 76-26번지","서울특별시 영등포구청","37.5095908","126.9074361","2020-09-21","","2021-10-17 11:36:46.0"
"버스정류소 19-733(마을)","버스승차대 좌우끝(또는 버스표지판)으로 부터 반경 10미터이내 보도","서울특별시","영등포구","문래주민센터                                                                                              ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 문래로 164","서울특별시 영등포구 문래동3가 55-16번지","서울특별시 영등포구청","37.51779425","126.9000766","2020-09-21","","2021-10-17 11:36:46.0"
"버스정류소 19-730(마을)","버스승차대 좌우끝(또는 버스표지판)으로 부터 반경 10미터이내 보도","서울특별시","영등포구","오거리                                                                                                 ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 여의대방로43라길 20","서울특별시 영등포구 신길동 123-7번지","서울특별시 영등포구청","37.5089587","126.9202744","2020-09-21","","2021-10-17 11:36:46.0"
"버스정류소 19-729(마을)","버스승차대 좌우끝(또는 버스표지판)으로 부터 반경 10미터이내 보도","서울특별시","영등포구","영등포구청.우리은행                                                                                          ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 당산로 122","서울특별시 영등포구 당산동3가 270번지","서울특별시 영등포구청","37.52541044","126.8969353","2020-09-21","","2021-10-17 11:36:46.0"
"버스정류소 19-714(마을)","버스승차대 좌우끝(또는 버스표지판)으로 부터 반경 10미터이내 보도","서울특별시","영등포구","농협                                                                                                  ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 도신로 195","서울특별시 영등포구 신길동 192-2번지","서울특별시 영등포구청","37.51152488","126.9129878","2020-09-21","","2021-10-17 11:36:46.0"
"버스정류소 19-713(마을)","버스승차대 좌우끝(또는 버스표지판)으로 부터 반경 10미터이내 보도","서울특별시","영등포구","GS자이후문                                                                                              ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 당산로4길 12","서울특별시 영등포구 문래동3가 54번지 문래자이아파트","서울특별시 영등포구청","37.51627692","126.8973702","2020-09-21","","2021-10-17 11:36:46.0"
"버스정류소 19-710(마을)","버스승차대 좌우끝(또는 버스표지판)으로 부터 반경 10미터이내 보도","서울특별시","영등포구","골프장                                                                                                 ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 여의대방로43라길 9","서울특별시 영등포구 신길동 897-1번지 삼환아파트","서울특별시 영등포구청","37.5084488181","126.9192073676","2020-09-21","","2021-10-17 11:36:46.0"
"삼성아이어린이집","건물경계선으로부터 10m이내 보차도","서울특별시","영등포구","유치원 및 어린이집 전체                                                                                       ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 당산동6가 당산로54길 50 강변삼성래미안아파트 3차 관리동 1층","서울특별시 영등포구 당산동6가 1번지 강변삼성래미안3차아파트 관리동 1층","서울특별시 영등포구청","37.53221131","126.9058636","2020-09-21","","2021-10-17 11:36:46.0"
"삼성래미안어린이집","건물경계선으로부터 10m이내 보차도","서울특별시","영등포구","유치원 및 어린이집 전체                                                                                       ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 양평동2가 영등포로3길 9 105동 106호(양평동2가 양평삼성아파트)","서울특별시 영등포구 양평동2가 38-1번지 105동 106호 양평삼성아파트","서울특별시 영등포구청","37.52450361","126.8830141","2020-09-21","","2021-10-17 11:36:46.0"
"버스정류소 19-755(마을)","버스승차대 좌우끝(또는 버스표지판)으로 부터 반경 10미터이내 보도","서울특별시","영등포구","성락교회                                                                                                ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 도림로 301","서울특별시 영등포구 신길동 355-22번지","서울특별시 영등포구청","37.50457146","126.9025398804","2020-09-21","","2021-10-17 11:36:46.0"
"버스정류소 19-754(마을)","버스승차대 좌우끝(또는 버스표지판)으로 부터 반경 10미터이내 보도","서울특별시","영등포구","영문초등학교.GS홈쇼핑                                                                                        ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 선유로 71","서울특별시 영등포구 문래동6가 8번지 문래임광그대가","서울특별시 영등포구청","37.5202343613","126.8888864","2020-09-21","","2021-10-17 11:36:46.0"
"버스정류소 19-753(마을)","버스승차대 좌우끝(또는 버스표지판)으로 부터 반경 10미터이내 보도","서울특별시","영등포구","도림고가.동아에코빌                                                                                          ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 도림로 371","서울특별시 영등포구 도림동 168-13번지","서울특별시 영등포구청","37.5101021127","126.8986885","2020-09-21","","2021-10-17 11:36:46.0"
"버스정류소 19-752(마을)","버스승차대 좌우끝(또는 버스표지판)으로 부터 반경 10미터이내 보도","서울특별시","영등포구","선유고등학교                                                                                              ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 선유로 227","서울특별시 영등포구 양평동4가 10번지","서울특별시 영등포구청","37.53390067","126.8948501","2020-09-21","","2021-10-17 11:36:46.0"
"엄마랑아가랑어린이집","건물경계선으로부터 10m이내 보차도","서울특별시","영등포구","유치원 및 어린이집 전체                                                                                       ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 영등포로86가길 21 (신길동)","서울특별시 영등포구 신길동 95-101번지","서울특별시 영등포구청","37.51256924","126.9209604","2020-09-21","","2021-10-17 11:36:46.0"
"어깨동무어린이집","건물경계선으로부터 10m이내 보차도","서울특별시","영등포구","유치원 및 어린이집 전체                                                                                       ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 영신로13길 8 (영등포동)","서울특별시 영등포구 영등포동 618-42번지","서울특별시 영등포구청","37.5136173773","126.9074651","2020-09-21","","2021-10-17 11:36:46.0"
"양평천사어린이집","건물경계선으로부터 10m이내 보차도","서울특별시","영등포구","유치원 및 어린이집 전체                                                                                       ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 양평동3가 선유동2로 29 202동 107호(양평동3가 현대2차아파트)","서울특별시 영등포구 양평동3가 79-4번지 202동 107호 현대2차아파트","서울특별시 영등포구청","37.53245759","126.8953385","2020-09-21","","2021-10-17 11:36:46.0"
"양평동교회어린이집","건물경계선으로부터 10m이내 보차도","서울특별시","영등포구","유치원 및 어린이집 전체                                                                                       ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 양평로20길 11 (양평동4가)","서울특별시 영등포구 양평동4가 228번지","서울특별시 영등포구청","37.5381088092","126.8958313","2020-09-21","","2021-10-17 11:36:46.0"
"양평동교회방과후어린이집","건물경계선으로부터 10m이내 보차도","서울특별시","영등포구","유치원 및 어린이집 전체                                                                                       ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 양평로20길 5 양평동교회교육관2층 양평동교회방과후교실 (양평동4가)","서울특별시 영등포구 양평동4가 197-1번지 양평동교회 교육관2층 양평동교회방과후교실","서울특별시 영등포구청","37.54202748","126.8935361","2020-09-21","","2021-10-17 11:36:46.0"
"양평늘푸른어린이집","건물경계선으로부터 10m이내 보차도","서울특별시","영등포구","유치원 및 어린이집 전체                                                                                       ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 선유로 201 609동 102호(양평동3가 현대6차아파트)","서울특별시 영등포구 양평동3가 101번지 609동 102호 현대6차아파트","서울특별시 영등포구청","37.52493496","126.891463","2020-09-21","","2021-10-17 11:36:46.0"
"양평3가어린이집","건물경계선으로부터 10m이내 보차도","서울특별시","영등포구","유치원 및 어린이집 전체                                                                                       ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 선유서로34길 10 (양평동3가)","서울특별시 영등포구 양평동3가 36번지","서울특별시 영등포구청","37.5268291","126.8874352720","2020-09-21","","2021-10-17 11:36:46.0"
"양평2동어린이집","건물경계선으로부터 10m이내 보차도","서울특별시","영등포구","유치원 및 어린이집 전체                                                                                       ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 선유로53길 20-7 구립 양평2동 어린이집 (양평동4가)","서울특별시 영등포구 양평동4가 243-1번지 구립양평 2동 어린이집","서울특별시 영등포구청","37.53810327","126.8964128","2020-09-21","","2021-10-17 11:36:46.0"
"양평1동 어린이집","건물경계선으로부터 10m이내 보차도","서울특별시","영등포구","유치원 및 어린이집 전체                                                                                       ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 양평동1가 선유서로24길 21 양평1동어린이집","서울특별시 영등포구 양평동1가 211-1번지 양평 1동 어린이집","서울특별시 영등포구청","37.52363019","126.8883827","2020-09-21","","2021-10-17 11:36:46.0"
"애플어린이집","건물경계선으로부터 10m이내 보차도","서울특별시","영등포구","유치원 및 어린이집 전체                                                                                       ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 문래로4길 26 대원칸타빌 101동 104호 (문래동6가)","서울특별시 영등포구 문래동6가 47-1번지 대원아파트 101동 104호","서울특별시 영등포구청","37.51836962","126.8827301","2020-09-21","","2021-10-17 11:36:46.0"
"아해뜰어린이집","건물경계선으로부터 10m이내 보차도","서울특별시","영등포구","유치원 및 어린이집 전체                                                                                       ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 도림로47길 27 (대림동)","서울특별시 영등포구 대림동 691-6번지","서울특별시 영등포구청","37.49759779","126.8993069939","2020-09-21","","2021-10-17 11:36:46.0"
"아트자이어린이집","건물경계선으로부터 10m이내 보차도","서울특별시","영등포구","유치원 및 어린이집 전체                                                                                       ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 도영로 66 아트자이아파트 단지내 복리시설","서울특별시 영등포구 도림동 821번지 영등포아트자이아파트 단지내 복리시설","서울특별시 영등포구청","37.50926972","126.9009638","2020-09-21","","2021-10-17 11:36:46.0"
"아이존어린이집","건물경계선으로부터 10m이내 보차도","서울특별시","영등포구","유치원 및 어린이집 전체                                                                                       ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 당산동2가 당산로 95 105동 103호(당산동2가현대아파트)","서울특별시 영등포구 당산동2가 164번지 105동 103호 현대아파트","서울특별시 영등포구청","37.52316603","126.8953916","2020-09-21","","2021-10-17 11:36:46.0"
"아이숲어린이집","건물경계선으로부터 10m이내 보차도","서울특별시","영등포구","유치원 및 어린이집 전체                                                                                       ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 문래로 94-7 101동 107호(문래동3가 문래건영아파트)","서울특별시 영등포구 문래동3가 93-1번지 101동 107호 문래건영아파트","서울특별시 영등포구청","37.51840645","126.8924404","2020-09-21","","2021-10-17 11:36:46.0"
"아이세상어린이집","건물경계선으로부터 10m이내 보차도","서울특별시","영등포구","유치원 및 어린이집 전체                                                                                       ","서울특별시 영등포구 고시 제2014-18호","","100000","02-2670-4895","서울특별시 영등포구 도신로29길 28 215동 104호(영등포동 영등포푸르지오2단지아파트)","서울특별시 영등포구 영등포동 647번지 215동 104호 영등포푸르지오","서울특별시 영등포구청","37.51175199","126.9023244","2020-09-21","","2021-10-17 11:36:46.0"
"평창아띠","평창아띠","서울특별시","종로구","도시공원                                                                                                ","서울특별시 종로구","450","100000","02-2148-3544","서울특별시 종로구 평창동 273-3","","서울특별시 종로구청","","","2021-07-12","","2021-10-17 11:36:46.0"
"백동어린이 놀이터","백동어린이 놀이터","서울특별시","종로구","도시공원                                                                                                ","서울특별시 종로구","209.9","100000","02-2148-3544","서울특별시 종로구 동숭동 2-34 일대","","서울특별시 종로구청","","","2021-07-12","","2021-10-17 11:36:46.0"
"숭인어린이 놀이터","숭인어린이 놀이터","서울특별시","종로구","도시공원                                                                                                ","서울특별시 종로구","402","100000","02-2148-3544","서울특별시 종로구 숭인동 605","","서울특별시 종로구청","","","2021-07-12","","2021-10-17 11:36:46.0"
"귀빈예식장옆 쉼터","귀빈예식장옆 쉼터","서울특별시","종로구","도시공원                                                                                                ","서울특별시 종로구","820","100000","02-2148-3544","서울특별시 종로구 평창동 43-3","","서울특별시 종로구청","","","2021-07-12","","2021-10-17 11:36:46.0"
"창이어린이 놀이터","창이어린이 놀이터","서울특별시","종로구","도시공원                                                                                                ","서울특별시 종로구","766","100000","02-2148-3544","서울특별시 종로구 창신동 622-12","","서울특별시 종로구청","","","2021-07-12","","2021-10-17 11:36:46.0"
"세종마을어린이 놀이터","세종마을어린이 놀이터","서울특별시","종로구","도시공원                                                                                                ","서울특별시 종로구","500","100000","02-2148-3544","서울특별시 종로구 옥인동 23-350","","서울특별시 종로구청","","","2021-07-12","","2021-10-17 11:36:46.0"
"산마루 놀이터","산마루 놀이터","서울특별시","종로구","도시공원                                                                                                ","서울특별시 종로구","2.187","100000","02-2148-3544","서울특별시 종로구 창신동 23-350","","서울특별시 종로구청","","","2021-07-12","","2021-10-17 11:36:46.0"
"공평지구","공평지구","서울특별시","종로구","도시공원                                                                                                ","서울특별시 종로구","219.9","100000","02-2148-3544","서울특별시 종로구 인사동 275일대","","서울특별시 종로구청","","","2021-07-12","","2021-10-17 11:36:46.0"
"도렴45지구","도렴45지구","서울특별시","종로구","도시공원                                                                                                ","서울특별시 종로구","527.6","100000","02-2148-3544","서울특별시 종로구 신문로1가 240-2","","서울특별시 종로구청","","","2021-07-12","","2021-10-17 11:36:46.0"
"의주","의주","서울특별시","종로구","도시공원                                                                                                ","서울특별시 종로구","364","100000","02-2148-3544","서울특별시 종로구 무악동 89-1","","서울특별시 종로구청","","","2021-07-12","","2021-10-17 11:36:46.0"
"원서","원서","서울특별시","종로구","도시공원                                                                                                ","서울특별시 종로구","10.0046","100000","02-2148-3544","서울특별시 종로구 원서동 181","","서울특별시 종로구청","","","2021-07-12","","2021-10-17 11:36:46.0"
"창덕","창덕","서울특별시","종로구","도시공원                                                                                                ","서울특별시 종로구","6.75","100000","02-2148-3544","서울특별시 종로구 와룡동 2-71","","서울특별시 종로구청","","","2021-07-12","","2021-10-17 11:36:46.0"
"달바위","달바위","서울특별시","종로구","도시공원                                                                                                ","서울특별시 종로구","3.3178","100000","02-2148-3544","서울특별시 종로구 송월동 145-2","","서울특별시 종로구청","","","2021-07-12","","2021-10-17 11:36:46.0"
